,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
0,,,,,,,,,,,,,,
1,Chicago Bulls,E,C,67,15,.817,10.44,116.32,105.35,10.97,10.07,116.12,105.52,10.61
2,Portland Trail Blazers,W,P,57,25,.695,7.27,111.98,104.71,7.27,6.94,111.85,104.94,6.91
3,Utah Jazz,W,M,55,27,.671,6.39,112.68,106.13,6.55,5.70,112.59,106.77,5.82
4,Phoenix Suns,W,P,53,29,.646,5.94,112.51,106.70,5.82,5.69,112.50,106.96,5.54
5,Cleveland Cavaliers,E,C,57,25,.695,5.45,114.32,108.71,5.61,5.34,114.26,108.73,5.53
6,New York Knicks,E,A,51,31,.622,3.89,108.85,104.88,3.97,3.67,108.56,104.79,3.77
7,Boston Celtics,E,A,51,31,.622,3.62,111.31,107.50,3.81,3.42,111.19,107.57,3.62
8,Golden State Warriors,W,P,55,27,.671,3.90,114.00,110.44,3.56,3.77,114.22,110.81,3.41
9,San Antonio Spurs,W,M,47,35,.573,3.32,108.01,104.59,3.42,2.81,107.75,104.88,2.87
10,Detroit Pistons,E,C,48,34,.585,2.05,108.03,105.94,2.08,2.06,107.81,105.68,2.13
11,Indiana Pacers,E,C,40,42,.488,1.89,112.37,110.42,1.95,1.85,112.35,110.40,1.95
12,Seattle SuperSonics,W,P,47,35,.573,1.88,111.37,109.39,1.98,1.86,111.52,109.59,1.93
13,Los Angeles Clippers,W,P,45,37,.549,1.07,106.30,105.22,1.08,1.10,106.18,105.10,1.08
14,Los Angeles Lakers,W,P,43,39,.524,-1.10,108.38,109.53,-1.15,-0.95,108.52,109.55,-1.02
15,Atlanta Hawks,E,C,38,44,.463,-1.50,107.78,109.27,-1.49,-1.15,107.80,108.90,-1.10
16,New Jersey Nets,E,A,40,42,.488,-1.70,107.51,109.09,-1.58,-1.54,107.52,108.92,-1.40
17,Philadelphia 76ers,E,A,35,47,.427,-1.27,108.92,110.36,-1.44,-1.34,108.89,110.37,-1.48
18,Milwaukee Bucks,E,C,31,51,.378,-1.72,109.58,111.37,-1.80,-1.46,109.68,111.17,-1.49
19,Houston Rockets,W,M,42,40,.512,-1.72,106.75,108.66,-1.91,-1.94,106.75,108.91,-2.16
20,Charlotte Hornets,E,C,31,51,.378,-3.90,107.75,111.38,-3.63,-3.57,107.80,111.08,-3.28
21,Miami Heat,E,A,38,44,.463,-4.21,107.36,111.64,-4.27,-3.94,107.49,111.46,-3.97
22,Washington Bullets,E,A,25,57,.305,-4.46,104.30,108.98,-4.68,-4.35,104.17,108.70,-4.53
23,Sacramento Kings,W,P,29,53,.354,-6.06,104.52,110.33,-5.81,-5.62,104.70,110.12,-5.42
24,Orlando Magic,E,A,21,61,.256,-6.91,103.96,111.04,-7.08,-6.52,104.05,110.70,-6.65
25,Minnesota Timberwolves,W,M,15,67,.183,-7.05,105.72,113.03,-7.30,-6.85,106.07,113.19,-7.12
26,Denver Nuggets,W,M,24,58,.293,-7.87,101.28,109.14,-7.86,-7.58,101.34,108.95,-7.61
27,Dallas Mavericks,W,M,22,60,.268,-7.65,103.48,111.57,-8.09,-7.46,103.68,111.60,-7.92
